year,C,I,G,EX,IM
1994,245683.7,85579,116168,34762.1,-45368.4
1995,251970.1,91898.7,121375.1,36215.3,-51890.3
1996,258151.7,98453.7,122091.79999999999,38556.4,-56313.6
1997,255781.6,98030.59999999999,119923.9,41992.1,-55113
1998,256657.7,89979.09999999999,121866,40405.5,-51513.9
1999,260435.7,86547.5,124593,42841,-54897.2
2000,263971.8,94429.3,124474.9,46914.1,-60396.4
2001,268881.1,88488.40000000001,125301.6,43300.2,-58423.7
2002,271953.3,85804,125357.3,48532.8,-61189
2003,273850.1,90087.90000000001,124308.7,53334,-62616.3
2004,277097,94222.5,122703.4,59578.1,-68091.6
2005,281427,98843.6,120682.3,65228.8,-72284.2
2006,283493.6,101282.1,119148.20000000001,70896.2,-74872.7
2007,285850.5,98892.8,119361.29999999999,77607.2,-76698.5
2008,280054.7,94203.7,117674,69656.4,-73338
2009,282488.5,74894.8,122576.40000000001,63394,-65525.8
2010,286647,82673.7,122632.79999999999,74749.1,-73434.9
2011,288796.6,86205.9,123964.49999999999,73571.2,-77247
2012,293396.6,88048.2,125592.2,72387.6,-80155.7
2013,301514.2,91947.2,129472.19999999998,75583.3,-85867.1
2014,293681.2,94846.8,129404.40000000001,82192.2,-89506.8
2015,295660.9,97503.59999999999,130884.50000000001,82869.2,-89904.2
2016,295533.7,97508.59999999999,131701.3,85891.5,-89101.2
2017,298875.3,101559.2,132328.7,91433.1,-92616.5
2018,299046.8,102275.3,133394.6,92873,-94618.3
